drug_id,drug_name,treats,causes
DB00001,Lepirudin,thrombocytopenia,
DB00002,Cetuximab,,edema; edema
DB00003,Dornase alfa,,fever; pain; chest pain; dyspnea; rhinitis; pharyngitis; laryngitis; hoarseness; chest pain; dyspepsia; dyspepsia; frequency; rash; urticaria; fever; rash; urticaria; rhinitis; conjunctivitis; dyspnea; urticaria
DB00004,Denileukin diftitox,lymphoma,
DB00005,Etanercept,arthritis; arthritis; rheumatoid arthritis; psoriasis,
DB00006,Bivalirudin,angina; angina; thrombocytopenia,
DB00007,Leuprolide,,dyspnea; dyspnea
DB00008,Peginterferon alfa-2a,hepatitis; hepatitis,edema; pain; chest pain; dyspnea; chest pain; hypertension; edema; arthritis; myositis; purpura; purpura; dyspnea; depression; pneumonia; hypertension; pancreatitis; hepatitis; cirrhosis; nephritis; arthritis; rheumatoid arthritis; psoriasis; hypothyroidism; hyperthyroidism; diabetes; depression; hepatitis
DB00010,Sermorelin,weight loss; weight loss; weight loss; hiv,
DB00012,Darbepoetin alfa,anemia; hiv,
DB00016,Erythropoietin,lymphoma,
DB00017,Salmon Calcitonin,menopause,swelling; pain; back pain; rhinitis; swelling; nausea; back pain; swelling; rhinitis; allergy
DB00022,Peginterferon alfa-2b,,edema; pain; chest pain; dyspnea; chest pain; hypertension; edema; arthritis; myositis; purpura; purpura; dyspnea; depression; pneumonia; hypertension; pancreatitis; hepatitis; cirrhosis; nephritis; arthritis; rheumatoid arthritis; psoriasis; hypothyroidism; hyperthyroidism; diabetes; depression; hepatitis
DB00023,Asparaginase,leukemia; lymphoma,
DB00025,"Antihemophilic factor, human recombinant",hemophilia,
DB00026,Anakinra,arthritis; arthritis; rheumatoid arthritis,pyrexia; pain; headache; abdominal pain; arthralgia; nausea; vomiting; abdominal pain; diarrhea; arthralgia; arthritis; arthralgia; diarrhea; abdominal pain; arthritis; rheumatoid arthritis
DB00028,Immune Globulin Human,arthritis; purpura; purpura; arthritis; rheumatoid arthritis; leukemia,
DB00030,Insulin Human,diabetes,
DB00034,"Interferon Alfa-2a, Recombinant",hepatitis; leukemia; hiv; aids; hepatitis,sweating; tiredness; weight loss; dizziness; blurred vision; nausea; vomiting; diarrhea; loss of appetite; arthritis; rash; itching; dry skin; weight loss; sweating; dry skin; weight loss; rash; diarrhea; arthritis; neuropathy; hypothyroidism; hyperthyroidism; anemia; thrombocytopenia
DB00035,Desmopressin,polydipsia; polyuria; enuresis; polyuria; polydipsia; diabetes; hemophilia,fluid retention; pain; headache; abdominal pain; abdominal cramps; dizziness; nasal congestion; rhinitis; flushing; nausea; abdominal pain; abdominal cramps; flushing; rhinitis; abdominal pain
DB00036,Coagulation factor VIIa Recombinant Human,hemophilia,
DB00042,Botulinum Toxin Type B,pain; neck pain; dystonia; neck pain,
DB00043,Omalizumab,asthma; asthma,
DB00044,Lutropin alfa,,tumors
DB00046,Insulin Lispro,diabetes,sweating; lethargy; weakness; headache; dizziness; tingling; trembling; weakness; confusion; palpitations; nausea; weakness; sweating; palpitations; hunger; weakness; weakness; anxiety; confusion
DB00047,Insulin Glargine,diabetes,sweating; lethargy; weakness; headache; dizziness; tingling; trembling; weakness; confusion; palpitations; nausea; weakness; rash; sweating; palpitations; hunger; weakness; weakness; rash; anxiety; confusion
DB00051,Adalimumab,arthritis; arthritis; rheumatoid arthritis,
DB00052,Somatotropin,weight loss; weight loss; weight loss; hiv,
DB00054,Abciximab,angina; angina,
DB00056,Gemtuzumab ozogamicin,leukemia,
DB00058,Alpha-1-proteinase inhibitor,emphysema,
DB00059,Pegaspargase,leukemia,bronchospasm; erythema; erythema; anaphylaxis
DB00065,Infliximab,arthritis; arthritis; rheumatoid arthritis; psoriasis,
DB00066,Follitropin,,hemoptysis; nausea; cysts; hemoptysis; lymphadenopathy; lymphadenopathy; asthma; asthma
DB00067,Vasopressin,polydipsia; polyuria; enuresis; polyuria; polydipsia; diabetes,
DB00068,Interferon beta-1b,frequency,
DB00069,Interferon alfacon-1,leukemia; aids,
DB00071,Insulin Pork,diabetes,
DB00072,Trastuzumab,,heart failure
DB00073,Rituximab,arthritis; arthritis; rheumatoid arthritis; leukemia; lymphoma,
DB00078,Ibritumomab tiuxetan,lymphoma,
DB00081,Tositumomab,lymphoma,
DB00083,Botulinum Toxin Type A,sweating; hyperhidrosis; pain; neck pain; strabismus; dystonia; neck pain; hyperhidrosis; sweating,
DB00085,Pancrelipase,pancreatitis,pain; headache; abdominal pain; nasal congestion; abdominal pain; diarrhea; diarrhea; abdominal pain
DB00087,Alemtuzumab,leukemia,
DB00091,Cyclosporine,arthritis; arthritis; rheumatoid arthritis; psoriasis,
DB00092,Alefacept,psoriasis,
DB00095,Efalizumab,psoriasis,
DB00099,Filgrastim,leukemia,
DB00100,Coagulation Factor IX (Recombinant),hemophilia,
DB00102,Becaplermin,diabetes,
DB00105,"Interferon Alfa-2b, Recombinant",leukemia; aids,
DB00107,Oxytocin,,spasm; spasm
DB00109,Enfuvirtide,hiv; aids,
DB00113,Technetium Tc-99m arcitumomab,tumors,
DB00115,Cyanocobalamin,anemia,wheezing; rash; itching; rash; wheezing
DB00117,Histidine,arthritis; arthritis; rheumatoid arthritis; anemia,
DB00118,Ademetionine,fibromyalgia; fibromyalgia; depression; osteoarthritis; fibromyalgia; depression,mucus; depression; depression
DB00119,Pyruvic acid,,discomfort; bloating; gas; diarrhea; diarrhea
DB00120,L-Phenylalanine,depression; depression,schizophrenia
DB00123,L-Lysine,herpes,
DB00125,L-Arginine,,abdominal cramps; nausea; abdominal cramps; diarrhea; diarrhea
DB00128,L-Aspartic Acid,aids,diarrhea; diarrhea
DB00130,L-Glutamine,,pain; headache; chest pain; abdominal pain; back pain; cough; chest pain; nausea; bloating; abdominal pain; constipation; back pain; cough; abdominal pain
DB00134,L-Methionine,,headache; nausea; vomiting; cirrhosis
DB00135,L-Tyrosine,fatigue; fatigue; fatigue; fatigue; narcolepsy,
DB00136,Calcitriol,,weakness; anorexia; polydipsia; weakness; nausea; vomiting; anorexia; polyuria; weakness; pruritus; polyuria; polydipsia; weakness; weakness; anorexia; anorexia
DB00138,Cystine,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,nausea; hyperactivity
DB00141,N-Acetylglucosamine,osteoarthritis,distress; heartburn; diarrhea; heartburn; diarrhea
DB00142,Glutamic Acid,fatigue; fatigue; fatigue; fatigue; schizophrenia,
DB00146,Calcidiol,,tiredness; weakness; thirst; pain; headache; muscle pain; bone pain; weakness; irregular heartbeat; nausea; vomiting; diarrhea; constipation; loss of appetite; frequency; muscle pain; weakness; bone pain; itching; weakness; weakness; diarrhea
DB00150,L-Tryptophan,pain; depression; depression,fever; sweating; shaking; trembling; twitching; confusion; vomiting; diarrhea; sweating; fever; diarrhea; agitation; confusion
DB00152,Thiamine,delirium; psychosis; psychosis,
DB00153,Ergocalciferol,,fatigue; weakness; weight loss; headache; weakness; nausea; vomiting; diarrhea; weakness; weight loss; fatigue; weakness; fatigue; weakness; fatigue; weight loss; diarrhea; irritability
DB00156,L-Threonine,aids,
DB00157,NADH,fatigue; fatigue; fatigue; fatigue,anxiety; insomnia
DB00158,Folic Acid,anemia,
DB00162,Vitamin A,,lethargy; weakness; anorexia; pain; pressure; headache; bone pain; dizziness; weakness; blindness; diplopia; vomiting; diarrhea; anorexia; weakness; bone pain; dry skin; hair loss; dry skin; weakness; splenomegaly; hepatomegaly; weakness; anorexia; splenomegaly; hepatomegaly; diarrhea; irritability; anorexia; neuropathy; anemia
DB00163,Vitamin E,arthritis; asthma; arthritis; rheumatoid arthritis; diabetes; asthma,
DB00165,Pyridoxine,neuropathy,weakness; weakness; ataxia; dyspnea; diarrhea; weakness; muscle weakness; ataxia; weakness; weakness; dyspnea; diarrhea
